x,y
1232.0,602.0
1061.0,605.0
891.0,608.0
713.0,444.0
1063.0,772.0
723.0,783.0
718.0,611.0
555.0,786.0
880.0,438.0
553.0,447.0
1228.0,428.0
1055.0,435.0
1228.0,768.0
545.0,611.0
894.0,778.0
